group,file,f0
review,ep01_sim0.560_204s.wav,186.8
review,ep01_sim0.565_804s.wav,
review,ep01_sim0.568_639s.wav,164.5
review,ep01_sim0.571_1055s.wav,581.4
review,ep01_sim0.623_195s.wav,330.7
review,ep01_sim0.644_261s.wav,211.9
review,ep01_sim0.647_630s.wav,147.1
review,ep02_sim0.550_1246s.wav,401.1
review,ep02_sim0.555_636s.wav,283.9
review,ep02_sim0.586_110s.wav,111.5
review,ep02_sim0.591_758s.wav,458.4
review,ep02_sim0.603_1134s.wav,518.7
review,ep02_sim0.612_1274s.wav,213.7
review,ep02_sim0.616_1217s.wav,
review,ep02_sim0.618_1215s.wav,263.1
review,ep02_sim0.620_654s.wav,424.7
review,ep02_sim0.637_1216s.wav,
review,ep02_sim0.638_1273s.wav,423.6
review,ep03_sim0.551_612s.wav,574.9
review,ep03_sim0.555_701s.wav,281.3
review,ep03_sim0.562_753s.wav,234.4
review,ep03_sim0.584_286s.wav,337.2
review,ep03_sim0.590_220s.wav,515.5
review,ep03_sim0.602_195s.wav,515.3
review,ep03_sim0.607_1288s.wav,454.0
review,ep03_sim0.610_429s.wav,164.3
review,ep03_sim0.612_414s.wav,656.6
review,ep03_sim0.622_201s.wav,394.9
review,ep03_sim0.636_1127s.wav,487.9
review,ep04_sim0.569_757s.wav,361.8
review,ep04_sim0.573_1314s.wav,488.3
review,ep04_sim0.576_791s.wav,624.6
review,ep04_sim0.578_162s.wav,417.5
review,ep04_sim0.578_784s.wav,602.7
review,ep04_sim0.579_1216s.wav,404.0
review,ep04_sim0.584_779s.wav,623.9
review,ep04_sim0.585_1087s.wav,669.4
review,ep04_sim0.595_818s.wav,632.4
review,ep04_sim0.606_498s.wav,392.1
review,ep04_sim0.607_1272s.wav,398.9
review,ep04_sim0.614_294s.wav,185.3
review,ep04_sim0.615_1249s.wav,386.4
review,ep04_sim0.620_800s.wav,676.1
review,ep04_sim0.632_260s.wav,132.3
review,ep04_sim0.643_679s.wav,497.4
review,ep04_sim0.643_952s.wav,142.1
review,ep04_sim0.647_387s.wav,393.9
review,ep05_sim0.558_942s.wav,622.0
review,ep05_sim0.563_928s.wav,274.3
review,ep05_sim0.577_1031s.wav,477.0
review,ep05_sim0.583_562s.wav,321.2
review,ep05_sim0.590_361s.wav,257.9
review,ep05_sim0.603_955s.wav,274.9
review,ep05_sim0.611_1139s.wav,521.1
review,ep05_sim0.615_574s.wav,260.8
review,ep05_sim0.634_763s.wav,224.3
review,ep05_sim0.635_1246s.wav,225.7
review,ep05_sim0.648_931s.wav,272.0
review,ep06_sim0.550_917s.wav,183.5
review,ep06_sim0.551_1129s.wav,389.4
review,ep06_sim0.554_486s.wav,492.0
review,ep06_sim0.555_1231s.wav,
review,ep06_sim0.559_1025s.wav,371.7
review,ep06_sim0.560_546s.wav,610.9
review,ep06_sim0.563_1074s.wav,324.9
review,ep06_sim0.570_738s.wav,
review,ep06_sim0.572_852s.wav,155.7
review,ep06_sim0.573_1067s.wav,218.2
review,ep06_sim0.590_913s.wav,582.3
review,ep06_sim0.595_810s.wav,257.2
review,ep06_sim0.595_923s.wav,
review,ep06_sim0.600_833s.wav,242.5
review,ep06_sim0.601_841s.wav,371.8
review,ep06_sim0.620_1092s.wav,
review,ep06_sim0.623_827s.wav,167.9
review,ep06_sim0.632_1192s.wav,129.8
review,ep06_sim0.635_1208s.wav,389.3
review,ep06_sim0.635_208s.wav,347.5
review,ep06_sim0.636_925s.wav,
review,ep06_sim0.639_1085s.wav,336.0
review,ep06_sim0.644_858s.wav,169.8
review,ep07_sim0.559_1026s.wav,590.2
review,ep07_sim0.576_1040s.wav,655.5
review,ep07_sim0.576_822s.wav,336.4
review,ep07_sim0.579_1165s.wav,317.7
review,ep07_sim0.602_307s.wav,290.7
review,ep07_sim0.605_180s.wav,444.0
review,ep07_sim0.610_1178s.wav,259.0
review,ep07_sim0.618_314s.wav,440.0
review,ep07_sim0.622_726s.wav,262.6
review,ep08_5_sim0.551_292s.wav,438.8
review,ep08_5_sim0.555_995s.wav,249.4
review,ep08_5_sim0.563_651s.wav,660.2
review,ep08_5_sim0.578_1022s.wav,147.5
review,ep08_5_sim0.579_230s.wav,336.1
review,ep08_5_sim0.582_849s.wav,390.4
review,ep08_5_sim0.587_1268s.wav,434.5
review,ep08_5_sim0.597_1193s.wav,402.4
review,ep08_5_sim0.603_438s.wav,131.6
review,ep08_5_sim0.625_1012s.wav,377.9
review,ep08_5_sim0.626_1131s.wav,313.9
review,ep08_5_sim0.639_98s.wav,257.8
review,ep08_5_sim0.643_299s.wav,616.4
review,ep08_5_sim0.646_132s.wav,580.0
review,ep08_sim0.565_586s.wav,483.2
review,ep08_sim0.566_796s.wav,262.4
review,ep08_sim0.569_688s.wav,263.6
review,ep08_sim0.591_482s.wav,118.9
