group,file,f0
wavs,000001.wav,70.8
wavs,000002.wav,578.2
wavs,000003.wav,212.3
wavs,000004.wav,105.8
wavs,000005.wav,77.9
wavs,000006.wav,76.3
wavs,000007.wav,229.5
wavs,000008.wav,229.5
wavs,000009.wav,132.8
wavs,000010.wav,97.4
wavs,000011.wav,121.2
wavs,000012.wav,284.9
wavs,000013.wav,244.7
wavs,000014.wav,110.2
wavs,000015.wav,80.5
wavs,000016.wav,106.0
wavs,000017.wav,82.0
wavs,000018.wav,111.9
wavs,000019.wav,72.6
wavs,000020.wav,64.9
wavs,000021.wav,311.1
wavs,000022.wav,269.0
wavs,000023.wav,289.7
wavs,000024.wav,340.8
wavs,000025.wav,194.4
wavs,000026.wav,290.2
wavs,000027.wav,137.2
wavs,000028.wav,80.5
wavs,000029.wav,71.5
wavs,000030.wav,100.8
wavs,000031.wav,69.0
wavs,000032.wav,73.4
wavs,000033.wav,93.4
wavs,000034.wav,231.9
wavs,000035.wav,332.1
wavs,000036.wav,175.3
wavs,000037.wav,250.6
wavs,000038.wav,321.3
wavs,000039.wav,369.9
wavs,000040.wav,452.4
wavs,000041.wav,356.6
wavs,000042.wav,367.9
wavs,000043.wav,129.5
wavs,000044.wav,191.7
wavs,000045.wav,341.6
wavs,000046.wav,399.3
wavs,000047.wav,409.1
wavs,000048.wav,380.7
wavs,000049.wav,166.0
wavs,000050.wav,175.0
wavs,000051.wav,264.7
wavs,000052.wav,431.2
wavs,000053.wav,103.9
wavs,000054.wav,67.1
wavs,000055.wav,172.2
wavs,000056.wav,100.5
wavs,000057.wav,180.3
wavs,000058.wav,275.8
wavs,000059.wav,203.8
wavs,000060.wav,355.0
wavs,000061.wav,339.8
wavs,000062.wav,98.4
wavs,000063.wav,102.8
wavs,000064.wav,298.0
wavs,000065.wav,312.8
wavs,000066.wav,187.7
wavs,000067.wav,181.6
wavs,000068.wav,159.7
wavs,000069.wav,154.1
wavs,000070.wav,197.6
wavs,000071.wav,90.7
wavs,000072.wav,123.9
wavs,000073.wav,172.4
wavs,000074.wav,172.9
wavs,000075.wav,179.7
wavs,000076.wav,407.3
wavs,000077.wav,117.9
wavs,000078.wav,243.1
wavs,000079.wav,86.1
wavs,000080.wav,198.4
wavs,000081.wav,106.4
wavs,000082.wav,275.9
wavs,000083.wav,121.6
wavs,000084.wav,380.6
wavs,000085.wav,99.4
wavs,000086.wav,124.3
wavs,000087.wav,393.1
wavs,000088.wav,225.6
wavs,000089.wav,90.4
wavs,000090.wav,173.5
wavs,000091.wav,354.1
wavs,000092.wav,117.5
wavs,000093.wav,165.0
wavs,000094.wav,104.0
wavs,000095.wav,341.4
wavs,000096.wav,215.7
wavs,000097.wav,199.8
wavs,000098.wav,237.4
wavs,000099.wav,374.0
wavs,000100.wav,212.2
wavs,000101.wav,320.3
wavs,000102.wav,113.2
wavs,000103.wav,267.3
wavs,000104.wav,188.4
wavs,000105.wav,279.0
wavs,000106.wav,251.5
wavs,000107.wav,265.7
wavs,000108.wav,318.2
wavs,000109.wav,391.3
wavs,000110.wav,283.6
wavs,000111.wav,324.2
wavs,000112.wav,319.1
wavs,000113.wav,399.2
wavs,000114.wav,210.9
wavs,000115.wav,144.7
wavs,000116.wav,73.5
wavs,000117.wav,612.5
wavs,000118.wav,145.7
wavs,000119.wav,86.3
wavs,000120.wav,147.4
wavs,000121.wav,424.8
wavs,000122.wav,75.3
wavs,000123.wav,154.2
wavs,000124.wav,259.4
wavs,000125.wav,129.9
wavs,000126.wav,119.8
wavs,000127.wav,117.6
wavs,000128.wav,64.9
wavs,000129.wav,65.5
wavs,000130.wav,349.7
wavs,000131.wav,513.7
wavs,000132.wav,123.5
wavs,000133.wav,115.4
wavs,000134.wav,402.2
wavs,000135.wav,482.4
wavs,000136.wav,101.0
wavs,000137.wav,311.1
wavs,000138.wav,142.3
wavs,000139.wav,216.2
wavs,000140.wav,101.9
wavs,000141.wav,102.4
wavs,000142.wav,242.6
wavs,000143.wav,100.2
wavs,000144.wav,129.7
wavs,000145.wav,135.4
wavs,000146.wav,214.8
wavs,000147.wav,231.9
wavs,000148.wav,193.9
wavs,000149.wav,417.6
wavs,000150.wav,539.1
wavs,000151.wav,417.4
wavs,000152.wav,350.2
wavs,000153.wav,341.5
wavs,000154.wav,418.9
wavs,000155.wav,71.1
wavs,000156.wav,287.6
wavs,000157.wav,363.9
wavs,000158.wav,536.1
wavs,000159.wav,506.9
wavs,000160.wav,370.0
wavs,000161.wav,511.2
wavs,000162.wav,539.5
wavs,000163.wav,512.2
wavs,000164.wav,145.1
wavs,000165.wav,83.8
wavs,000166.wav,90.3
wavs,000167.wav,69.9
wavs,000168.wav,68.1
wavs,000169.wav,346.5
wavs,000170.wav,341.7
wavs,000171.wav,318.1
wavs,000172.wav,393.2
wavs,000173.wav,381.5
wavs,000174.wav,210.1
wavs,000175.wav,247.8
wavs,000176.wav,295.8
wavs,000177.wav,197.1
wavs,000178.wav,168.3
wavs,000179.wav,180.7
wavs,000180.wav,591.8
wavs,000181.wav,417.2
wavs,000182.wav,335.2
wavs,000183.wav,123.1
wavs,000184.wav,64.9
wavs,000185.wav,234.7
wavs,000186.wav,423.3
wavs,000187.wav,303.5
wavs,000188.wav,397.1
wavs,000189.wav,106.6
wavs,000190.wav,167.5
wavs,000191.wav,109.3
wavs,000192.wav,296.5
wavs,000193.wav,396.5
wavs,000194.wav,99.7
wavs,000195.wav,86.0
wavs,000196.wav,175.9
wavs,000197.wav,207.2
wavs,000198.wav,381.3
wavs,000199.wav,283.2
wavs,000200.wav,487.9
wavs,000201.wav,196.1
wavs,000202.wav,193.1
wavs,000203.wav,488.5
wavs,000204.wav,111.3
wavs,000205.wav,257.5
wavs,000206.wav,100.2
wavs,000207.wav,350.3
wavs,000208.wav,421.2
wavs,000209.wav,87.6
