file,ep,start,end,prob,source,text
ep01_01042.52s,ep01,1042.52,1043.52,,human,チー
ep01_01203.76s,ep01,1203.76,1204.83,,human,チチ!
ep02_00166.40s,ep02,166.4,167.46,,human,超火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火火
ep02_00667.42s,ep02,667.42,669.88,,human,チーーーーーーチーーーーーン
ep02_00795.92s,ep02,795.92,797.62,,human,ちー
ep02_00961.56s,ep02,961.56,962.56,,human,チ элект
ep02_01134.26s,ep02,1134.26,1135.82,,human,チatsächlich
ep02_01146.29s,ep02,1146.29,1149.57,,human,ちー
ep02_01189.62s,ep02,1189.62,1191.68,,human,ティ・・・
ep02_01195.68s,ep02,1195.68,1197.68,,human,ふ六
ep02_01246.34s,ep02,1246.34,1247.74,,human,チーン
ep02_01268.72s,ep02,1268.72,1270.1,,human,ちっ
ep02_01273.42s,ep02,1273.42,1274.48,,human,キー
ep02_01284.48s,ep02,1284.48,1285.73,,human,ちぃー
ep03_00195.04s,ep03,195.04,196.18,,human,ちーーーーーー
ep03_00201.36s,ep03,201.36,202.92,,human,キー
ep03_00204.52s,ep03,204.52,207.8,,human,いっ いってらっしゃ
ep03_00210.96s,ep03,210.96,213.63,,human,いってらっしゃい
ep03_00218.14s,ep03,218.14,220.09,,human,いってらっしゃい
ep03_00230.86s,ep03,230.86,233.11,,human,ひでき
ep03_00238.56s,ep03,238.56,240.7,,human,ひできひでき
ep03_00241.60s,ep03,241.6,243.23,,human,ひがき ひがき
ep03_00277.54s,ep03,277.54,279.92,,human,いってらっしゃい
ep03_00292.54s,ep03,292.54,297.11,,human,ひでき
ep03_00624.26s,ep03,624.26,626.29,,human,ひでき
ep03_01224.90s,ep03,1224.9,1226.98,,human,いってらっしゃい
ep03_01239.80s,ep03,1239.8,1242.73,,human,おかえりなさい
ep03_01244.46s,ep03,1244.46,1246.56,,human,おかえりなさい
ep03_01254.14s,ep03,1254.14,1256.05,,human,バイト
ep03_01268.22s,ep03,1268.22,1270.29,,human,ち、安心?
ep03_01273.90s,ep03,1273.9,1276.02,,human,うれっ しぃ
ep03_01275.78s,ep03,1275.78,1282.09,,human,うれしいちわからない
ep03_01287.60s,ep03,1287.6,1290.14,,human,うれしい
ep03_01325.40s,ep03,1325.4,1326.76,,human,ひでき!
ep04_00185.58s,ep04,185.58,187.68,,human,おかえりなさい。
ep04_00195.72s,ep04,195.72,197.63,,human,地位覚えた
ep04_00205.58s,ep04,205.58,207.23,,human,あれ
ep04_00208.58s,ep04,208.58,210.08,,human,管理人さんがくれた
ep04_00319.46s,ep04,319.46,321.37,,human,おかず?
ep04_00340.34s,ep04,340.34,343.8,,human,チー覚えた
ep04_00396.02s,ep04,396.02,398.21,,human,行ってきます
ep04_00407.14s,ep04,407.14,411.84,,human,寄り道 知らない人 車
ep04_00416.76s,ep04,416.76,419.29,,human,パンツください
ep04_00424.18s,ep04,424.18,425.88,,human,ちいわかった
ep04_00425.74s,ep04,425.74,427.47,,human,行ってきます
ep04_00562.40s,ep04,562.4,565.22,,human,チン
ep04_00601.32s,ep04,601.32,602.41,,human,パンツ
ep04_00614.72s,ep04,614.72,616.37,,human,パンツ買えない
ep04_00639.12s,ep04,639.12,640.4,,human,パンツください
ep04_00647.12s,ep04,647.12,648.74,,human,でもパンツ
ep04_00653.86s,ep04,653.86,657.7,,human,パンツ
ep04_00690.24s,ep04,690.24,691.77,,human,つばんつ
ep04_00726.58s,ep04,726.58,729.84,,human,パンチ
ep04_00729.86s,ep04,729.86,731.86,,human,パンツ
ep04_00750.86s,ep04,750.86,751.86,,human,チップ
ep04_00756.86s,ep04,756.86,761.27,,human,パンツ違う
ep04_00760.98s,ep04,760.98,765.03,,human,ちっすもも
ep04_00977.48s,ep04,977.48,979.57,,human,パンツ
ep04_01064.10s,ep04,1064.1,1066.18,,human,パンツ買える
ep04_01145.60s,ep04,1145.6,1147.6,,human,ちぃ
ep04_01148.60s,ep04,1148.6,1151.6,,human,パンツない
ep04_01159.60s,ep04,1159.6,1162.82,,human,パンツください
ep04_01208.84s,ep04,1208.84,1210.57,,human,パンツください
ep04_01210.54s,ep04,1210.54,1212.93,,human,ひできが欲しがってるって
ep04_01236.70s,ep04,1236.7,1239.04,,human,ちー
ep04_01249.22s,ep04,1249.22,1251.16,,human,失礼します
ep04_01313.54s,ep04,1313.54,1316.26,,human,変態
