ep,start,end,dur,text,chi_prob,in_dataset
ep01,0.0,3.7,3.7,俺の名前は元須賀秀樹,0.055,0
ep01,3.7,6.38,2.68,今度の誕生日が来たら19,0.083,0
ep01,6.38,8.08,1.7,今は18歳,0.011,0
ep01,8.08,11.56,3.48,この春上京して大学生になる予定,0.007,0
ep01,30.0,48.76,18.76,ああ、来た,,0
ep01,60.0,65.0,5.0,そう晴れて大学生だったんだけど,0.006,0
ep01,65.88,74.0,8.12,落ちたー滑ったー浪人だー,0.013,0
ep01,74.82,82.66,7.84,こうなったら予備校だ予備校行って勉強して来年こそ受かってみせる,0.002,0
ep01,82.66,87.72,5.06,そうだどうせ行くなら東京だ志望校東京なんだからな,0.004,0
ep01,87.72,88.34,0.62,な,,0
ep01,88.34,92.34,4.0,よーし!俺は東京行くぞ!,0.022,0
ep01,182.34,191.34,9.0,パパパパパパパパパパパパパパパパパパパパ,0.054,0
ep01,195.34,197.34,2.0,はい,0.238,0
ep01,204.34,207.76,3.42,やっと着いた,0.011,0
ep01,207.76,209.58,1.82,さすが東京,0.043,0
ep01,209.58,211.54,1.96,どこ行っても人多いな,0.007,0
ep01,211.54,213.56,2.02,えっと,0.012,0
ep01,213.56,214.7,1.14,アパートは,0.245,0
ep01,214.7,215.98,1.28,ん,0.1,0
ep01,215.98,219.64,3.66,目的地までは,0.006,0
ep01,219.64,221.44,1.8,約45分です,0.018,0
ep01,221.44,223.56,2.12,池袋で乗り換えて,0.164,0
ep01,223.56,224.54,0.98,それから,,0
ep01,224.54,227.5,2.96,パソコンだ,0.015,0
ep01,227.5,230.84,3.34,俺実物初めて見たよ,0.01,0
ep01,230.84,231.56,0.72,あ,,0
ep01,231.56,240.52,8.96,世の中最近ITとかインターネットとかなんかいろいろ発達してものすごく便利になってるらしい,0.026,0
ep01,240.52,243.86,3.34,中でも一番すごいのはこのパソコンだ,0.072,0
ep01,243.86,250.84,6.98,人間そっくりに作ってあって俺はよく知らないんだけどなんかいろんなことができるらしい,0.029,0
ep01,251.88,256.48,4.6,くー!俺んとこ田舎で誰もパソコンなんて持ってなかったからな,0.055,0
ep01,256.48,260.54,4.06,いいないいなパソコン欲しいな欲しいな,0.051,0
ep01,260.54,262.54,2.0,あっ,0.025,0
ep01,262.54,265.54,3.0,こ、何、変えるわけはねえ!,0.015,0
ep01,265.54,266.54,1.0,あっ,0.086,0
ep01,266.54,267.54,1.0,パフォーマンス?,0.108,0
ep01,267.54,268.54,1.0,なんだろあれ,0.022,0
ep01,268.54,269.54,1.0,春だからな,0.029,0
ep01,269.54,271.54,2.0,リアをしちゃいけません,0.003,0
ep01,273.54,274.54,1.0,アハハハハ,0.005,0
ep01,274.54,275.54,1.0,アハ,0.004,0
ep01,279.54,281.54,2.0,アハ,0.002,0
ep01,281.54,283.54,2.0,アハ,0.01,0
ep01,283.54,285.54,2.0,恥ずかしかった,0.06,0
ep01,285.54,288.54,3.0,独り言言う癖直さないと,0.004,0
